source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation
national,文化庁,文化遺産オンライン／国指定文化財等データベース,207180,https://online.bunka.go.jp/heritages/detail/207180,13Tokyo/raw/national/records.jsonl,藤田貞資関係資料 文化遺産オンライン,,,,,,,,,,national,国(日本学士院),35.71616082,139.77723206,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,213449,https://online.bunka.go.jp/heritages/detail/213449,13Tokyo/raw/national/records.jsonl,論語集解板木 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,169055,https://online.bunka.go.jp/heritages/detail/169055,13Tokyo/raw/national/records.jsonl,近藤重蔵関係資料 文化遺産オンライン,,,,,,,,,,national,国立大学法人東京大学,35.71103056,139.76053889,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,198656,https://online.bunka.go.jp/heritages/detail/198656,13Tokyo/raw/national/records.jsonl,地球儀 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立科学博物館,35.71628375,139.7766626,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,169045,https://online.bunka.go.jp/heritages/detail/169045,13Tokyo/raw/national/records.jsonl,天球儀 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立科学博物館,35.71628375,139.7766626,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,159701,https://online.bunka.go.jp/heritages/detail/159701,13Tokyo/raw/national/records.jsonl,アジア航海図〈(羊皮紙著色)/〉 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,202323,https://online.bunka.go.jp/heritages/detail/202323,13Tokyo/raw/national/records.jsonl,法隆寺枡 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,187722,https://online.bunka.go.jp/heritages/detail/187722,13Tokyo/raw/national/records.jsonl,天球儀〈(渾天新図)/(銅製)〉 文化遺産オンライン,,,,,,,,,,national,公益財団法人永青文庫,35.71323372,139.72322348,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,158168,https://online.bunka.go.jp/heritages/detail/158168,13Tokyo/raw/national/records.jsonl,五海道其外分間延絵図並見取絵図(著色) 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,135264,https://online.bunka.go.jp/heritages/detail/135264,13Tokyo/raw/national/records.jsonl,群書類従版木 文化遺産オンライン,,,,,,,,,,national,社団法人温故学会,35.65350537,139.71113862,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,213379,https://online.bunka.go.jp/heritages/detail/213379,13Tokyo/raw/national/records.jsonl,長崎奉行所キリシタン関係資料 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,213339,https://online.bunka.go.jp/heritages/detail/213339,13Tokyo/raw/national/records.jsonl,埼玉県砂川遺跡出土品 文化遺産オンライン,,,,,,,,,,national,明治大学,35.69771686,139.76176465,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,135184,https://online.bunka.go.jp/heritages/detail/135184,13Tokyo/raw/national/records.jsonl,群馬県蟹沢古墳出土品 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,159551,https://online.bunka.go.jp/heritages/detail/159551,13Tokyo/raw/national/records.jsonl,突線袈裟襷文銅鐸/滋賀県野洲郡野洲町小篠原大岩山出土 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
