record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
official_export_002:163,seismic,多摩東部直下地震,5.972,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房主屋兼作業場,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:164,seismic,多摩東部直下地震,5.972,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房登り窯,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
140,seismic,多摩西部直下地震,5.864,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,稲荷塚古墳,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
141,seismic,多摩西部直下地震,5.747,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,霞ノ関南木戸柵跡,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
142,seismic,多摩西部直下地震,5.816,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
223,seismic,多摩西部直下地震,5.743,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,平久保のシイ,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:109,seismic,多摩西部直下地震,5.704,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,川井家住宅主屋,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:146,seismic,多摩西部直下地震,5.697,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧川井家住宅土蔵,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:163,seismic,多摩西部直下地震,5.76,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房主屋兼作業場,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:164,seismic,多摩西部直下地震,5.76,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房登り窯,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
140,seismic,立川断層帯地震,5.876,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,稲荷塚古墳,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
141,seismic,立川断層帯地震,5.844,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,霞ノ関南木戸柵跡,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
142,seismic,立川断層帯地震,5.979,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
223,seismic,立川断層帯地震,5.786,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,平久保のシイ,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
official_export_002:109,seismic,立川断層帯地震,5.655,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,川井家住宅主屋,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
official_export_002:146,seismic,立川断層帯地震,5.65,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧川井家住宅土蔵,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
official_export_002:163,seismic,立川断層帯地震,5.904,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房主屋兼作業場,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
official_export_002:164,seismic,立川断層帯地震,5.904,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房登り窯,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
140,seismic,大正関東地震,5.364,5強,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,稲荷塚古墳,想定震度,大正関東地震,想定震度｜大正関東地震
141,seismic,大正関東地震,5.652,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,霞ノ関南木戸柵跡,想定震度,大正関東地震,想定震度｜大正関東地震
142,seismic,大正関東地震,5.715,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,想定震度,大正関東地震,想定震度｜大正関東地震
223,seismic,大正関東地震,5.82,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,平久保のシイ,想定震度,大正関東地震,想定震度｜大正関東地震
official_export_002:109,seismic,大正関東地震,5.738,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,川井家住宅主屋,想定震度,大正関東地震,想定震度｜大正関東地震
official_export_002:146,seismic,大正関東地震,5.733,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧川井家住宅土蔵,想定震度,大正関東地震,想定震度｜大正関東地震
official_export_002:163,seismic,大正関東地震,5.732,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房主屋兼作業場,想定震度,大正関東地震,想定震度｜大正関東地震
official_export_002:164,seismic,大正関東地震,5.732,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房登り窯,想定震度,大正関東地震,想定震度｜大正関東地震
140,seismic,南海トラフ巨大地震,4.898,5弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,稲荷塚古墳,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震
141,seismic,南海トラフ巨大地震,4.954,5弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,霞ノ関南木戸柵跡,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震
142,seismic,南海トラフ巨大地震,5.013,5強,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震
223,seismic,南海トラフ巨大地震,5.038,5強,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,平久保のシイ,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震
official_export_002:109,seismic,南海トラフ巨大地震,4.973,5弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,川井家住宅主屋,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震
official_export_002:146,seismic,南海トラフ巨大地震,4.971,5弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧川井家住宅土蔵,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震
official_export_002:163,seismic,南海トラフ巨大地震,5.004,5強,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房主屋兼作業場,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震
official_export_002:164,seismic,南海トラフ巨大地震,5.004,5強,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房登り窯,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震
140,fire,延焼危険度,3.0,,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,稲荷塚古墳,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
141,fire,延焼危険度,3.0,,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,霞ノ関南木戸柵跡,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
142,fire,延焼危険度,2.0,,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
223,fire,延焼危険度,1.0,,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,平久保のシイ,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:109,fire,延焼危険度,2.0,,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,川井家住宅主屋,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:146,fire,延焼危険度,2.0,,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧川井家住宅土蔵,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:163,fire,延焼危険度,4.0,,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房主屋兼作業場,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:164,fire,延焼危険度,4.0,,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房登り窯,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
142,liquefaction,多摩東部直下地震,2.3425,0<PL≤5,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,液状化,多摩東部直下地震,液状化｜多摩東部直下地震
142,liquefaction,大正関東地震,0.9725,0<PL≤5,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,液状化,大正関東地震,液状化｜大正関東地震
142,liquefaction,立川断層帯地震,1.965,0<PL≤5,hazard_liquefaction_250m_立川断層帯地震,liquefaction mesh polygon intersection,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,液状化,立川断層帯地震,液状化｜立川断層帯地震
