source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation,_designation_reason,designation_level_code,designation_level_ja,designation_status_code,designation_status_ja,heritage_type_major_code,heritage_type_major_ja,heritage_type_detail,classification_confidence
municipal_source,新宿区,新宿区の文化財一覧,13104:14,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,熊野神社の水鉢,,,,,東京都新宿区西新宿二丁目11-2,新宿区,13104,,,ambiguous,,35.69091,139.6882,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:15,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,亮朝院の金剛力士石像,,,,,東京都新宿区西早稲田三丁目16-24,新宿区,13104,,,ambiguous,,35.71174,139.71346,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:16,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,誓閑寺の梵鐘,,,,,東京都新宿区喜久井町61,新宿区,13104,,,ambiguous,,35.70485,139.71944,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:17,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,善国寺の毘沙門天像,,,,,東京都新宿区神楽坂五丁目36,新宿区,13104,,,ambiguous,,35.70146,139.73917,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:18,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,経王寺の大黒天像,,,,,東京都新宿区原町一丁目14,新宿区,13104,,,ambiguous,,35.69906,139.72548,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:19,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,法善寺の七面明神像,,,,,東京都新宿区新宿六丁目20-6,新宿区,13104,,,ambiguous,,35.69754,139.71193,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:20,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,布袋像の水鉢,,,,,東京都新宿区西早稲田二丁目1-11,新宿区,13104,,,ambiguous,,35.70717,139.71747,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:21,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,須賀神社の三十六歌仙絵,,,,,東京都新宿区須賀町5-6,新宿区,13104,,,ambiguous,,35.68541,139.72229,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:22,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,馬水槽,,,,,東京都新宿区新宿三丁目38,新宿区,13104,,,ambiguous,,35.69209,139.70121,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:23,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,天龍寺の時の鐘,,,,,東京都新宿区新宿四丁目3-19,新宿区,13104,,,ambiguous,,35.68887,139.70406,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:24,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,天龍寺のやぐら時計,,,,,東京都新宿区新宿四丁目3-19,新宿区,13104,,,ambiguous,,35.68887,139.70406,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:25,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,大隈重信銅像,,,,,東京都新宿区西早稲田一丁目6,新宿区,13104,,,ambiguous,,35.70923,139.71909,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:26,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,長善寺(笹寺)のめのう観音像,,,,,東京都新宿区四谷四丁目4,新宿区,13104,,,ambiguous,,35.68661,139.71782,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:27,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,鬼王神社の水鉢,,,,,東京都新宿区歌舞伎町二丁目17-5,新宿区,13104,,,ambiguous,,35.69778,139.70526,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:28,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,聖徳太子画像,,,,,東京都新宿区四谷三栄町12-16(新宿歴史博物館),新宿区,13104,,,ambiguous,,35.69006,139.72568,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:29,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,太宗寺の観無量寿経曼荼羅,,,,,東京都新宿区新宿二丁目9-2,新宿区,13104,,,ambiguous,,35.68982,139.70921,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
