source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation,designation_level_code,designation_level_ja,designation_status_code,designation_status_ja,heritage_type_major_code,heritage_type_major_ja,heritage_type_detail,classification_confidence
national,文化庁,国指定文化財等データベース CSV export,official_export_001:21,,13Tokyo/raw/national/official_export_001.csv,寛永寺旧本坊表門(黒門),,,,,東京都台東区上野公園,台東区,13106,国宝・重要文化財(建造物),建造物,national,,35.71679587,139.77736253,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:22,,13Tokyo/raw/national/official_export_001.csv,寛永寺清水堂,,,,,東京都台東区上野公園,台東区,13106,国宝・重要文化財(建造物),建造物,national,,35.71258744,139.77356987,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:23,,13Tokyo/raw/national/official_export_001.csv,旧寛永寺五重塔,,,,,東京都台東区上野公園,台東区,13106,国宝・重要文化財(建造物),建造物,national,,35.7154495,139.77136136,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:24,,13Tokyo/raw/national/official_export_001.csv,観音寺阿弥陀堂,,,,,東京都青梅市塩船,青梅市,13205,国宝・重要文化財(建造物),建造物,national,,35.80365822,139.28174482,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:25,,13Tokyo/raw/national/official_export_001.csv,観音寺仁王門,,,,,東京都青梅市塩船,青梅市,13205,国宝・重要文化財(建造物),建造物,national,,35.80325894,139.28204388,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:26,,13Tokyo/raw/national/official_export_001.csv,観音寺本堂,,,,,東京都青梅市塩船,青梅市,13205,国宝・重要文化財(建造物),建造物,national,,35.8042219,139.28125159,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:27,,13Tokyo/raw/national/official_export_001.csv,旧朝香宮邸,,,,,東京都港区白金台五丁目二六番,港区,13103,国宝・重要文化財(建造物),建造物,national,,35.635675,139.720813,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:28,,13Tokyo/raw/national/official_export_001.csv,旧朝香宮邸,,,,,東京都港区白金台五丁目二六番,港区,13103,国宝・重要文化財(建造物),建造物,national,,35.636367,139.718837,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:29,,13Tokyo/raw/national/official_export_001.csv,旧朝香宮邸,,,,,東京都港区白金台五丁目二六番,港区,13103,国宝・重要文化財(建造物),建造物,national,,35.636848,139.719315,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:30,,13Tokyo/raw/national/official_export_001.csv,旧朝香宮邸,,,,,東京都港区白金台五丁目二六番,港区,13103,国宝・重要文化財(建造物),建造物,national,,35.637252,139.719401,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:31,,13Tokyo/raw/national/official_export_001.csv,旧朝香宮邸,,,,,東京都港区白金台五丁目二六番,港区,13103,国宝・重要文化財(建造物),建造物,national,,35.637264,139.719702,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:32,,13Tokyo/raw/national/official_export_001.csv,旧朝倉家住宅,,,,,東京都渋谷区猿楽町29番地,渋谷区,13113,国宝・重要文化財(建造物),建造物,national,,35.64764275,139.700699,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:33,,13Tokyo/raw/national/official_export_001.csv,旧岩淵水門,,,,,東京都北区志茂5丁目地先,北区,13117,国宝・重要文化財(建造物),建造物,national,,35.78676389,139.73061667,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:34,,13Tokyo/raw/national/official_export_001.csv,旧江戸城外桜田門,,,,,東京都千代田区皇居外苑,千代田区,13101,国宝・重要文化財(建造物),建造物,national,,35.67855529,139.75367804,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:35,,13Tokyo/raw/national/official_export_001.csv,旧江戸城田安門,,,,,東京都千代田区北の丸公園,千代田区,13101,国宝・重要文化財(建造物),建造物,national,,35.69405624,139.74930979,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:36,,13Tokyo/raw/national/official_export_001.csv,旧久邇宮邸(聖心女子大学),,,,,東京都渋谷区広尾四丁目1番地4,渋谷区,13113,国宝・重要文化財(建造物),建造物,national,,35.65442778,139.72036778,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
national,文化庁,国指定文化財等データベース CSV export,official_export_001:37,,13Tokyo/raw/national/official_export_001.csv,旧久邇宮邸(聖心女子大学),,,,,東京都渋谷区広尾四丁目1番地4,渋谷区,13113,国宝・重要文化財(建造物),建造物,national,,35.65442778,139.72036778,building_direct,building_candidate_point,national,国宝・重要文化財(建造物),国宝・重要文化財(建造物),,national,国,designated,指定,tangible,有形文化財,建造物,medium
