heritage_type_major,延焼危険度｜延焼危険度,想定震度｜南海トラフ巨大地震,想定震度｜多摩東部直下地震,想定震度｜多摩西部直下地震,想定震度｜大正関東地震,想定震度｜立川断層帯地震,想定震度｜都心南部直下地震,想定震度｜都心東部直下地震,想定震度｜都心西部直下地震,河川浸水｜L2（想定最大規模）,河川浸水｜河川浸水,液状化｜南海トラフ巨大地震,液状化｜多摩東部直下地震,液状化｜大正関東地震,液状化｜立川断層帯地震,液状化｜都心南部直下地震
有形文化財,7,7,7,7,7,7,7,7,7,0,7,0,0,0,0,0
民俗文化財,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
記念物,3,3,3,3,3,3,3,3,3,2,2,0,1,1,1,1
TOTAL,11,11,11,11,11,11,11,11,11,3,10,1,2,2,2,2
