risk_type,risk_type_ja,scenario,hazard_key,affected_record_count
seismic,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震,1
seismic,想定震度,大正関東地震,想定震度｜大正関東地震,1
