risk_type,risk_type_ja,scenario,hazard_key,affected_record_count
fire,延焼危険度,延焼危険度,延焼危険度｜延焼危険度,52
high_tide,高潮,,高潮｜高潮,8
high_tide,高潮,PLATEAU建築物リスク,高潮｜PLATEAU建築物リスク,6
landslide,土砂災害,PLATEAU建築物リスク,土砂災害｜PLATEAU建築物リスク,2
landslide,土砂災害,土砂災害警戒区域,土砂災害｜土砂災害警戒区域,2
liquefaction,液状化,南海トラフ巨大地震,液状化｜南海トラフ巨大地震,31
liquefaction,液状化,多摩東部直下地震,液状化｜多摩東部直下地震,39
liquefaction,液状化,大正関東地震,液状化｜大正関東地震,38
liquefaction,液状化,立川断層帯地震,液状化｜立川断層帯地震,1
liquefaction,液状化,都心南部直下地震,液状化｜都心南部直下地震,39
river_flooding,河川浸水,,河川浸水｜河川浸水,52
river_flooding,河川浸水,L2（想定最大規模）,河川浸水｜L2（想定最大規模）,20
river_flooding,河川浸水,想定最大規模,河川浸水｜想定最大規模,1
seismic,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震,52
seismic,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震,52
seismic,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震,52
seismic,想定震度,大正関東地震,想定震度｜大正関東地震,52
seismic,想定震度,立川断層帯地震,想定震度｜立川断層帯地震,52
seismic,想定震度,都心南部直下地震,想定震度｜都心南部直下地震,52
seismic,想定震度,都心東部直下地震,想定震度｜都心東部直下地震,52
seismic,想定震度,都心西部直下地震,想定震度｜都心西部直下地震,52
tsunami,津波,南海トラフ巨大地震_ケース1,津波｜南海トラフ巨大地震_ケース1,1
tsunami,津波,南海トラフ巨大地震_ケース2,津波｜南海トラフ巨大地震_ケース2,1
tsunami,津波,南海トラフ巨大地震_ケース5,津波｜南海トラフ巨大地震_ケース5,1
tsunami,津波,南海トラフ巨大地震_ケース6,津波｜南海トラフ巨大地震_ケース6,1
tsunami,津波,南海トラフ巨大地震_ケース8,津波｜南海トラフ巨大地震_ケース8,1
tsunami,津波,南海トラフ巨大地震_全5ケース最大値,津波｜南海トラフ巨大地震_全5ケース最大値,1
tsunami,津波,大正関東地震,津波｜大正関東地震,1
