heritage_type_major,土砂災害｜PLATEAU建築物リスク,土砂災害｜土砂災害警戒区域,延焼危険度｜延焼危険度,想定震度｜南海トラフ巨大地震,想定震度｜多摩東部直下地震,想定震度｜多摩西部直下地震,想定震度｜大正関東地震,想定震度｜立川断層帯地震,想定震度｜都心南部直下地震,想定震度｜都心東部直下地震,想定震度｜都心西部直下地震,河川浸水｜L2（想定最大規模）,河川浸水｜想定最大規模,河川浸水｜河川浸水,津波｜南海トラフ巨大地震_ケース1,津波｜南海トラフ巨大地震_ケース2,津波｜南海トラフ巨大地震_ケース5,津波｜南海トラフ巨大地震_ケース6,津波｜南海トラフ巨大地震_ケース8,津波｜南海トラフ巨大地震_全5ケース最大値,津波｜大正関東地震,液状化｜南海トラフ巨大地震,液状化｜多摩東部直下地震,液状化｜大正関東地震,液状化｜立川断層帯地震,液状化｜都心南部直下地震,高潮｜PLATEAU建築物リスク,高潮｜高潮
有形文化財,1,2,41,41,41,41,41,41,41,41,41,18,1,41,1,1,1,1,1,1,1,25,29,28,0,29,6,7
記念物,1,0,11,11,11,11,11,11,11,11,11,2,0,11,0,0,0,0,0,0,0,6,10,10,1,10,0,1
TOTAL,2,2,52,52,52,52,52,52,52,52,52,20,1,52,1,1,1,1,1,1,1,31,39,38,1,39,6,8
