table,cid,name,sqlite_type,notnull,default,pk
admin_boundary_n03_2024,0,fid,INTEGER,1,,1
admin_boundary_n03_2024,1,geom,POLYGON,0,,0
admin_boundary_n03_2024,2,N03_001,TEXT,0,,0
admin_boundary_n03_2024,3,N03_002,TEXT,0,,0
admin_boundary_n03_2024,4,N03_003,TEXT,0,,0
admin_boundary_n03_2024,5,N03_004,TEXT,0,,0
admin_boundary_n03_2024,6,N03_005,TEXT,0,,0
admin_boundary_n03_2024,7,N03_007,TEXT,0,,0
hazard_fire_spread_mesh250,0,fid,INTEGER,1,,1
hazard_fire_spread_mesh250,1,geom,POLYGON,0,,0
hazard_fire_spread_mesh250,2,MESH250,TEXT,0,,0
hazard_fire_spread_mesh250,3,t360mm_,INTEGER,0,,0
hazard_fire_spread_mesh250,4,source_member,TEXT,0,,0
hazard_fire_spread_mesh250,5,source_dataset_id,TEXT,0,,0
hazard_fire_spread_mesh250,6,source_resource_id,TEXT,0,,0
hazard_fire_spread_mesh250,7,source_resource,TEXT,0,,0
hazard_fire_spread_mesh250,8,source_url,TEXT,0,,0
hazard_fire_spread_town,0,fid,INTEGER,1,,1
hazard_fire_spread_town,1,geom,MULTIPOLYGON,0,,0
hazard_fire_spread_town,2,Kushiname,TEXT,0,,0
hazard_fire_spread_town,3,Azaname,TEXT,0,,0
hazard_fire_spread_town,4,Cyoname,TEXT,0,,0
hazard_fire_spread_town,5,T360mm_,INTEGER,0,,0
hazard_fire_spread_town,6,source_member,TEXT,0,,0
hazard_fire_spread_town,7,source_dataset_id,TEXT,0,,0
hazard_fire_spread_town,8,source_resource_id,TEXT,0,,0
hazard_fire_spread_town,9,source_resource,TEXT,0,,0
hazard_fire_spread_town,10,source_url,TEXT,0,,0
hazard_inundation_中川_綾瀬川圏域,0,fid,INTEGER,1,,1
hazard_inundation_中川_綾瀬川圏域,1,geom,POINT,0,,0
hazard_inundation_中川_綾瀬川圏域,2,area,TEXT,0,,0
hazard_inundation_中川_綾瀬川圏域,3,sheet_no,TEXT,0,,0
hazard_inundation_中川_綾瀬川圏域,4,inundation_depth_m,REAL,0,,0
hazard_inundation_中川_綾瀬川圏域,5,ground_elevation_m,REAL,0,,0
hazard_inundation_中川_綾瀬川圏域,6,lon,REAL,0,,0
hazard_inundation_中川_綾瀬川圏域,7,lat,REAL,0,,0
hazard_inundation_中川_綾瀬川圏域,8,source_resource_id,TEXT,0,,0
hazard_inundation_中川_綾瀬川圏域,9,source_resource,TEXT,0,,0
hazard_inundation_中川_綾瀬川圏域,10,source_url,TEXT,0,,0
hazard_inundation_城南地区河川流域,0,fid,INTEGER,1,,1
hazard_inundation_城南地区河川流域,1,geom,POINT,0,,0
hazard_inundation_城南地区河川流域,2,area,TEXT,0,,0
hazard_inundation_城南地区河川流域,3,sheet_no,TEXT,0,,0
