dataset_no,dataset_key,title,source_org,acquisition,source_url,resource,layer,geometry_type,row_count,status,note,ingested_at,license,license_url,redistribution,commercial_use,modification,redistribution_status,attribution,usage_note,license_checked_at
7,tsunami,津波浸水分布（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download,https://www.opendata.metro.tokyo.lg.jp/soumu/5_oshima_nannkaitorafucase1_sinnsuisinn.csv,大島_南海トラフ巨大地震_ケース1_浸水深,hazard_tsunami_depth_大島_南海トラフ巨大地震_ケース1,Point (explicit CSV longitude/latitude),12857,ok,"area=大島; scenario=南海トラフ巨大地震_ケース1; metric=depth; stored as an independent tsunami scenario layer. Published data are 10m mesh values, but this script does not infer cell polygons; it stores published coordinate points exactly.",2026-09-03T23:29:15+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「津波浸水分布（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,公開座標をGIS地物化。地域・指標・想定シナリオ別レイヤとして保持する。,2026-09-04
7,tsunami,津波浸水分布（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download,https://www.opendata.metro.tokyo.lg.jp/soumu/6_toshima_nannkaitorafucase1_toutatujikann.csv,利島_南海トラフ巨大地震_ケース1_到達時間,hazard_tsunami_arrival_利島_南海トラフ巨大地震_ケース1,Point (explicit CSV longitude/latitude),2381,ok,"area=利島; scenario=南海トラフ巨大地震_ケース1; metric=arrival; stored as an independent tsunami scenario layer. Published data are 10m mesh values, but this script does not infer cell polygons; it stores published coordinate points exactly.",2026-09-03T23:29:15+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「津波浸水分布（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,公開座標をGIS地物化。地域・指標・想定シナリオ別レイヤとして保持する。,2026-09-04
7,tsunami,津波浸水分布（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download,https://www.opendata.metro.tokyo.lg.jp/soumu/7_toshima_nannkaitorafucase1_tunamidaka.csv,利島_南海トラフ巨大地震_ケース1_津波高,hazard_tsunami_height_利島_南海トラフ巨大地震_ケース1,Point (explicit CSV longitude/latitude),2381,ok,"area=利島; scenario=南海トラフ巨大地震_ケース1; metric=height; stored as an independent tsunami scenario layer. Published data are 10m mesh values, but this script does not infer cell polygons; it stores published coordinate points exactly.",2026-09-03T23:29:15+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「津波浸水分布（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,公開座標をGIS地物化。地域・指標・想定シナリオ別レイヤとして保持する。,2026-09-04
7,tsunami,津波浸水分布（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download,https://www.opendata.metro.tokyo.lg.jp/soumu/8_toshima_nannkaitorafucase1_sinnsuisinn.csv,利島_南海トラフ巨大地震_ケース1_浸水深,hazard_tsunami_depth_利島_南海トラフ巨大地震_ケース1,Point (explicit CSV longitude/latitude),2381,ok,"area=利島; scenario=南海トラフ巨大地震_ケース1; metric=depth; stored as an independent tsunami scenario layer. Published data are 10m mesh values, but this script does not infer cell polygons; it stores published coordinate points exactly.",2026-09-03T23:29:15+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「津波浸水分布（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,公開座標をGIS地物化。地域・指標・想定シナリオ別レイヤとして保持する。,2026-09-04
7,tsunami,津波浸水分布（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download,https://www.opendata.metro.tokyo.lg.jp/soumu/9_niijimashikinejima_nannkaitorafucase1_toutatujikann.csv,新島・式根島_南海トラフ巨大地震_ケース1_到達時間,hazard_tsunami_arrival_新島_式根島_南海トラフ巨大地震_ケース1,Point (explicit CSV longitude/latitude),24989,ok,"area=新島・式根島; scenario=南海トラフ巨大地震_ケース1; metric=arrival; stored as an independent tsunami scenario layer. Published data are 10m mesh values, but this script does not infer cell polygons; it stores published coordinate points exactly.",2026-09-03T23:29:16+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「津波浸水分布（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,公開座標をGIS地物化。地域・指標・想定シナリオ別レイヤとして保持する。,2026-09-04
7,tsunami,津波浸水分布（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download,https://www.opendata.metro.tokyo.lg.jp/soumu/10_niijimashikinejima_nannkaitorafucase1_tunamidaka.csv,新島・式根島_南海トラフ巨大地震_ケース1_津波高,hazard_tsunami_height_新島_式根島_南海トラフ巨大地震_ケース1,Point (explicit CSV longitude/latitude),24989,ok,"area=新島・式根島; scenario=南海トラフ巨大地震_ケース1; metric=height; stored as an independent tsunami scenario layer. Published data are 10m mesh values, but this script does not infer cell polygons; it stores published coordinate points exactly.",2026-09-03T23:29:16+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「津波浸水分布（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,公開座標をGIS地物化。地域・指標・想定シナリオ別レイヤとして保持する。,2026-09-04
7,tsunami,津波浸水分布（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download,https://www.opendata.metro.tokyo.lg.jp/soumu/11_niijimashikinejima_nannkaitorafucase1_sinnsuisinn.csv,新島・式根島_南海トラフ巨大地震_ケース1_浸水深,hazard_tsunami_depth_新島_式根島_南海トラフ巨大地震_ケース1,Point (explicit CSV longitude/latitude),24989,ok,"area=新島・式根島; scenario=南海トラフ巨大地震_ケース1; metric=depth; stored as an independent tsunami scenario layer. Published data are 10m mesh values, but this script does not infer cell polygons; it stores published coordinate points exactly.",2026-09-03T23:29:17+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「津波浸水分布（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,公開座標をGIS地物化。地域・指標・想定シナリオ別レイヤとして保持する。,2026-09-04
7,tsunami,津波浸水分布（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download,https://www.opendata.metro.tokyo.lg.jp/soumu/12_kozushima_nannkaitorafucase1_toutatujikann.csv,神津島_南海トラフ巨大地震_ケース1_到達時間,hazard_tsunami_arrival_神津島_南海トラフ巨大地震_ケース1,Point (explicit CSV longitude/latitude),12384,ok,"area=神津島; scenario=南海トラフ巨大地震_ケース1; metric=arrival; stored as an independent tsunami scenario layer. Published data are 10m mesh values, but this script does not infer cell polygons; it stores published coordinate points exactly.",2026-09-03T23:29:17+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「津波浸水分布（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,公開座標をGIS地物化。地域・指標・想定シナリオ別レイヤとして保持する。,2026-09-04
7,tsunami,津波浸水分布（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download,https://www.opendata.metro.tokyo.lg.jp/soumu/13_kozushima_nannkaitorafucase1_tunamidaka.csv,神津島_南海トラフ巨大地震_ケース1_津波高,hazard_tsunami_height_神津島_南海トラフ巨大地震_ケース1,Point (explicit CSV longitude/latitude),12384,ok,"area=神津島; scenario=南海トラフ巨大地震_ケース1; metric=height; stored as an independent tsunami scenario layer. Published data are 10m mesh values, but this script does not infer cell polygons; it stores published coordinate points exactly.",2026-09-03T23:29:17+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「津波浸水分布（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,公開座標をGIS地物化。地域・指標・想定シナリオ別レイヤとして保持する。,2026-09-04
7,tsunami,津波浸水分布（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download,https://www.opendata.metro.tokyo.lg.jp/soumu/14_kozushima_nannkaitorafucase1_sinnsuisinn.csv,神津島_南海トラフ巨大地震_ケース1_浸水深,hazard_tsunami_depth_神津島_南海トラフ巨大地震_ケース1,Point (explicit CSV longitude/latitude),12384,ok,"area=神津島; scenario=南海トラフ巨大地震_ケース1; metric=depth; stored as an independent tsunami scenario layer. Published data are 10m mesh values, but this script does not infer cell polygons; it stores published coordinate points exactly.",2026-09-03T23:29:17+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「津波浸水分布（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,公開座標をGIS地物化。地域・指標・想定シナリオ別レイヤとして保持する。,2026-09-04
