municipality_code,municipality_name,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
13101,千代田区,32,0,0,0,0,0,32
13102,中央区,38,0,2,0,0,0,40
13103,港区,2,0,0,0,0,0,2
13104,新宿区,216,1,11,0,0,0,228
13105,文京区,86,0,3,0,0,0,89
13106,台東区,124,0,1,0,0,0,125
13107,墨田区,1,0,0,0,0,0,1
13109,品川区,1,0,0,0,0,0,1
13110,目黒区,3,0,0,0,0,0,3
13114,中野区,15,2,0,0,0,0,17
13115,杉並区,69,1,4,0,0,0,74
13116,豊島区,22,1,0,0,0,0,23
13118,荒川区,1,0,0,0,0,0,1
13123,江戸川区,1,0,0,0,0,0,1
13203,武蔵野市,2,0,0,0,0,0,2
13204,三鷹市,3,0,0,0,0,0,3
13205,青梅市,1,0,0,0,0,0,1
13206,府中市,1,0,0,0,0,0,1
13209,町田市,1,0,0,0,0,0,1
13218,福生市,1,0,0,0,0,0,1
13228,あきる野市,20,0,0,0,0,0,20
