heritage_type_major,5弱未満,5弱,5強,6弱,6強以上,No data,Total
その他,0,0,0,5,27,0,32
文化財保存技術,0,0,0,0,0,1,1
有形文化財,14,406,181,108,132,137,978
未判定,0,232,5,1,1,242,481
民俗文化財,0,34,29,17,9,24,113
無形文化財,0,0,1,0,2,1,4
記念物,3,91,55,44,31,35,259
