heritage_type_major,5弱未満,5弱,5強,6弱,6強以上,No data,Total
その他,0,0,6,26,0,0,32
文化財保存技術,0,0,0,0,0,1,1
有形文化財,1,21,126,656,46,128,978
未判定,1,0,16,223,0,241,481
民俗文化財,4,0,16,66,7,20,113
無形文化財,0,0,1,2,0,1,4
記念物,1,11,51,160,11,25,259
