designation_level,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Municipal,0,2,10,192,118,125,447
National,0,7,56,465,176,36,740
Tokyo Metropolitan,0,9,25,90,39,22,185
Unknown,0,0,0,225,14,257,496
