designation_level,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Municipal,4,168,151,3,0,121,447
National,1,549,166,0,0,24,740
Tokyo Metropolitan,1,115,54,0,0,15,185
Unknown,1,231,8,0,0,256,496
