designation_level,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Municipal,0,2,18,191,111,125,447
National,0,14,55,402,233,36,740
Tokyo Metropolitan,0,10,25,94,34,22,185
Unknown,0,0,0,219,20,257,496
