designation_status,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Designated,0,0,5,329,159,43,536
Other,0,0,0,18,11,6,35
Registered,0,0,11,366,159,124,660
Unknown,0,0,1,259,110,267,637
