river,designation_status,0–0.5 m,0.5–3 m,3–5 m,5 m以上,Total
多摩川,Designated,5,5,8,0,18
多摩川,Other,0,0,0,0,0
多摩川,Registered,10,16,0,1,27
多摩川,Unknown,0,0,0,0,0
荒川,Designated,10,24,11,1,46
荒川,Other,0,7,5,0,12
荒川,Registered,7,29,5,0,41
荒川,Unknown,10,60,18,9,97
