designation_status,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Designated,0,14,40,331,108,43,536
Other,0,0,0,19,10,6,35
Registered,0,4,50,371,111,124,660
Unknown,0,0,1,251,118,267,637
