municipality_code,municipality_name,土砂災害｜PLATEAU建築物リスク,土砂災害｜土砂災害警戒区域,土砂災害｜砂防指定地,延焼危険度｜延焼危険度,想定震度｜南海トラフ巨大地震,想定震度｜多摩東部直下地震,想定震度｜多摩西部直下地震,想定震度｜大正関東地震,想定震度｜立川断層帯地震,想定震度｜都心南部直下地震,想定震度｜都心東部直下地震,想定震度｜都心西部直下地震,河川浸水｜L1（計画規模）,河川浸水｜L2（想定最大規模）,河川浸水｜想定最大規模,河川浸水｜河川浸水,津波｜PLATEAU建築物リスク,津波｜南海トラフ巨大地震_ケース1,津波｜南海トラフ巨大地震_ケース2,津波｜南海トラフ巨大地震_ケース5,津波｜南海トラフ巨大地震_ケース6,津波｜南海トラフ巨大地震_ケース8,津波｜南海トラフ巨大地震_全5ケース最大値,津波｜大正関東地震,液状化｜南海トラフ巨大地震,液状化｜多摩東部直下地震,液状化｜大正関東地震,液状化｜立川断層帯地震,液状化｜都心南部直下地震,高潮｜PLATEAU建築物リスク,高潮｜高潮
13215,国立市,2,2,0,72,72,72,72,72,72,72,72,72,0,10,15,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
13218,福生市,0,0,0,15,15,15,15,15,15,15,15,15,0,7,6,7,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
13219,狛江市,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
13220,東大和市,1,1,0,5,5,5,5,5,5,5,5,5,0,4,0,5,0,0,0,0,0,0,0,0,1,5,1,1,1,0,0
13221,清瀬市,0,0,0,2,2,2,2,2,2,2,2,2,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
13222,東久留米市,0,0,0,11,11,11,11,11,11,11,11,11,0,3,0,10,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0
13223,武蔵村山市,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13224,多摩市,6,3,0,8,8,8,8,8,8,8,8,8,0,7,0,8,0,0,0,0,0,0,0,0,4,5,5,5,5,0,0
13225,稲城市,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13227,羽村市,1,2,0,4,4,4,4,4,4,4,4,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228,あきる野市,16,20,0,57,64,57,57,64,57,57,57,57,0,32,1,43,0,0,0,0,0,0,0,0,9,14,14,6,12,1,1
13229,西東京市,0,0,0,10,10,10,10,10,10,10,10,10,0,1,0,10,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0
13305,日の出町,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
13307,檜原村,5,4,1,6,6,6,6,6,6,6,6,6,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13361,大島町,0,1,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13362,利島村,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13363,新島村,4,4,0,0,6,0,0,6,0,0,0,0,0,0,0,0,3,4,0,0,4,4,0,0,1,0,1,0,1,0,0
13381,三宅村,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13401,八丈町,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
