municipality_code,municipality_name,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
13101,千代田区,18,1,0,0,0,0,19
13102,中央区,24,12,0,0,0,0,36
13103,港区,12,4,0,0,0,0,16
13104,新宿区,13,7,0,0,0,0,20
13105,文京区,4,0,0,0,0,0,4
13106,台東区,24,24,9,0,0,0,57
13107,墨田区,40,48,3,0,0,0,91
13108,江東区,11,8,0,0,0,0,19
13116,豊島区,2,0,0,0,0,0,2
13118,荒川区,1,1,0,0,0,0,2
13119,板橋区,1,0,1,0,0,0,2
13228,あきる野市,1,0,0,0,0,0,1
