municipality_code,municipality_name,source_file,source_municipality_gpkg
13101,千代田区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13101_heritage.gpkg
13101,千代田区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13101_heritage.gpkg
13102,中央区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13102_heritage.gpkg
13102,中央区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13102_heritage.gpkg
13102,中央区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13102_heritage.gpkg
13103,港区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13103_heritage.gpkg
13103,港区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13103_heritage.gpkg
13104,新宿区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13104_heritage.gpkg
13104,新宿区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13104_heritage.gpkg
13104,新宿区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13104_heritage.gpkg
13105,文京区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13105_heritage.gpkg
13105,文京区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13105_heritage.gpkg
13106,台東区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13106_heritage.gpkg
13106,台東区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13106_heritage.gpkg
13106,台東区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13106_heritage.gpkg
13107,墨田区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13107_heritage.gpkg
13107,墨田区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13107_heritage.gpkg
13107,墨田区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/national_classified.csv,13107_heritage.gpkg
13108,江東区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/130001_cultural_property_classified.csv,13108_heritage.gpkg
13108,江東区,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv,13108_heritage.gpkg
