municipality_code,municipality_name,record_id,name,category,type,designation_level_code,designation_level_ja,designation_status_code,designation_status_ja,heritage_type_major_code,heritage_type_major_ja,heritage_type_detail,owner,address,source_file
13102,中央区,131024000000.0,日本橋魚市場絵図面,区指定文化財,古文書,municipal,区市町村,designated,指定,tangible,有形文化財,古文書,,,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv
13102,中央区,131024000000.0,江戸三座入場券,区指定文化財,考古資料,municipal,区市町村,designated,指定,tangible,有形文化財,考古資料,,,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv
13102,中央区,131024000000.0,佃島沽券絵図 控,区指定文化財,古文書,municipal,区市町村,designated,指定,tangible,有形文化財,古文書,,,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv
13102,中央区,131024000000.0,陶製住吉神社扁額,区民有形文化財,美術工芸品,municipal,区市町村,local_other,独自制度,tangible,有形文化財,未細分,,,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv
13102,中央区,131024000000.0,銅製洋鐘,区民有形文化財,美術工芸品,municipal,区市町村,local_other,独自制度,tangible,有形文化財,未細分,,,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv
13102,中央区,131024000000.0,板絵着色蘭陵王図額,区民有形文化財,美術工芸品,municipal,区市町村,local_other,独自制度,tangible,有形文化財,未細分,,,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv
13102,中央区,131024000000.0,木板金地着色蘆鷺図額,区民有形文化財,美術工芸品,municipal,区市町村,local_other,独自制度,tangible,有形文化財,未細分,,,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv
13102,中央区,131024000000.0,紙本墨画淡彩瀑布図,区民有形文化財,美術工芸品,municipal,区市町村,local_other,独自制度,tangible,有形文化財,未細分,,,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv
13102,中央区,131024000000.0,絹本着色白梅図,区民有形文化財,美術工芸品,municipal,区市町村,local_other,独自制度,tangible,有形文化財,未細分,,,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv
13102,中央区,131024000000.0,銅造 地蔵菩薩立像,区民有形文化財,美術工芸品,municipal,区市町村,local_other,独自制度,tangible,有形文化財,未細分,,,/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/13Tokyo/gml_input/municipal_all_classified.csv
