river,heritage_type_major,0–0.5 m,0.5–3 m,3–5 m,5 m以上,Total
多摩川,有形文化財,12,19,2,1,34
多摩川,未判定,0,0,0,0,0
多摩川,民俗文化財,0,0,4,0,4
多摩川,記念物,3,2,2,0,7
荒川,有形文化財,18,79,17,4,118
荒川,未判定,0,1,1,1,3
荒川,民俗文化財,2,24,11,5,42
荒川,記念物,7,16,10,0,33
