designation_level,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Municipal,4,1,49,253,19,121,447
National,1,22,104,550,39,24,740
Tokyo Metropolitan,1,9,48,106,6,15,185
Unknown,1,0,15,224,0,256,496
