designation_status,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Designated,11,198,132,65,87,43,536
Other,0,22,2,1,4,6,35
Registered,6,246,101,84,99,124,660
Unknown,0,297,36,25,12,267,637
