heritage_type_major,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
その他,0,0,0,0,0,32,32
文化財保存技術,0,0,0,0,0,1,1
有形文化財,0,1,3,2,1,971,978
未判定,0,0,0,0,0,481,481
民俗文化財,0,0,0,0,0,113,113
無形文化財,0,0,0,0,0,4,4
記念物,0,0,1,0,0,258,259
