record_id,risk_type,risk_type_ja,depth_m,hazard_source,scenario,risk_class,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,depth_class
1,river_flooding,洪水浸水想定区域,0.015,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13105,文京区,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,湯島天満宮表鳥居,0–0.5 m
1.32209E+11,river_flooding,洪水浸水想定区域,1.15,荒川水系黒目川・落合川・柳瀬川・空堀川・奈良橋川;黒目川・落合川・柳瀬川・空堀川・奈良橋川流域,L2（想定最大規模）,0.5m以上3m未満;0.5m未満,PLATEAU building risk,13220,東大和市,Tokyo Metropolitan,Unknown,有形文化財,建造物,building_direct,豊鹿島神社本殿(附棟札),0.5–3 m
10,river_flooding,洪水浸水想定区域,0.006,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13116,豊島区,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,旧マッケーレブ邸(雑司が谷旧宣教師館),0–0.5 m
1000000001,river_flooding,洪水浸水想定区域,0.034,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13114,中野区,Tokyo Metropolitan,Designated,記念物,旧跡,point,新井白石墓,0–0.5 m
1000000002,river_flooding,洪水浸水想定区域,0.075,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13114,中野区,Tokyo Metropolitan,Designated,記念物,旧跡,point,鈴木九郎長者墓,0–0.5 m
1000000003,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13114,中野区,National,Designated,記念物,名勝,point,哲学堂公園,0
1000000004,river_flooding,洪水浸水想定区域,0.006,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13114,中野区,Tokyo Metropolitan,Designated,民俗文化財,無形民俗文化財,point,江古田の獅子舞,0–0.5 m
103,river_flooding,浸水予想区域,,残堀川流域;黒目川_落合川_柳瀬川_空堀川及び奈良橋川流域,,No data,external point-grid sampling,13223,武蔵村山市,Tokyo Metropolitan,Designated,無形文化財,工芸技術,point,村山大島紬 (板締絹絣織),No data
104,river_flooding,洪水浸水想定区域,0.16,秋川・平井川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13228,あきる野市,Tokyo Metropolitan,Designated,無形文化財,工芸技術,point,軍道紙,0–0.5 m
105,river_flooding,洪水浸水想定区域,0.002,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13113,渋谷区,Tokyo Metropolitan,Designated,民俗文化財,有形民俗文化財,point,千駄ケ谷の冨士塚,0–0.5 m
106,river_flooding,洪水浸水想定区域,1.12,多摩川水系野川・仙川・入間川・谷沢川・丸子川;野川・仙川・入間川・谷沢川・丸子川流域,L1（計画規模）;L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk,13204,三鷹市,Tokyo Metropolitan,Designated,民俗文化財,有形民俗文化財,point,武蔵野(野川流域)の水車経営農家,0.5–3 m
108,river_flooding,洪水浸水想定区域,0.01,黒目川・落合川・柳瀬川・空堀川・奈良橋川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13221,清瀬市,Tokyo Metropolitan,Designated,民俗文化財,有形民俗文化財,point,中里の富士塚,0–0.5 m
11,river_flooding,洪水浸水想定区域,0.028,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13116,豊島区,Municipal,Designated,民俗文化財,有形民俗文化財,point,冨士元囃子用具一式(楽器9点、寿獅子、大黒舞用道具類11点,0–0.5 m
110,river_flooding,浸水予想区域,1.63,黒目川_落合川_柳瀬川_空堀川及び奈良橋川流域,,0.5–3 m,external point-grid sampling,13221,清瀬市,Tokyo Metropolitan,Designated,民俗文化財,無形民俗文化財(風俗慣習),point,清瀬市下宿の「ふせぎ」行事,0.5–3 m
112,river_flooding,洪水浸水想定区域,0.168,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13111,大田区,Tokyo Metropolitan,Designated,記念物,史跡,point,奥絵師狩野家墓所,0–0.5 m
113,river_flooding,浸水予想区域,0.006,野川_仙川_入間川_谷沢川及び丸子川流域,,0–0.5 m,external point-grid sampling,13111,大田区,Tokyo Metropolitan,Designated,記念物,史跡,point,宝?山古墳,0–0.5 m
114,river_flooding,浸水予想区域,0.008,野川_仙川_入間川_谷沢川及び丸子川流域,,0–0.5 m,external point-grid sampling,13111,大田区,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩川台古墳群,0–0.5 m
115,river_flooding,浸水予想区域,0.007,野川_仙川_入間川_谷沢川及び丸子川流域,,0–0.5 m,external point-grid sampling,13112,世田谷区,Tokyo Metropolitan,Designated,記念物,史跡,point,野毛大塚古墳,0–0.5 m
116,river_flooding,洪水浸水想定区域,0.004,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13112,世田谷区,Tokyo Metropolitan,Designated,記念物,史跡,point,世田谷代官屋敷,0–0.5 m
117,river_flooding,浸水予想区域,0.03,野川_仙川_入間川_谷沢川及び丸子川流域,,0–0.5 m,external point-grid sampling,13112,世田谷区,Tokyo Metropolitan,Designated,記念物,史跡,point,等々力渓谷三号横穴,0–0.5 m
118,river_flooding,洪水浸水想定区域,0.058,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13112,世田谷区,Tokyo Metropolitan,Designated,記念物,史跡,point,徳冨蘆花旧宅,0–0.5 m
12,river_flooding,洪水浸水想定区域,0.01,秋川・平井川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13116,豊島区,Municipal,Designated,民俗文化財,無形民俗文化財,point,長崎獅子舞,0–0.5 m
121,river_flooding,浸水予想区域,0.0,石神井川及び白子川流域,,0,external point-grid sampling,13119,板橋区,Unknown,Unknown,未判定,未細分,point,茂呂遺跡,0
122,river_flooding,浸水予想区域,0.0,石神井川及び白子川流域,,0,external point-grid sampling,13120,練馬区,Unknown,Unknown,未判定,未細分,point,尾崎遺跡,0
123,high_tide,高潮浸水想定,1.89,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area,13122,葛飾区,Tokyo Metropolitan,Designated,記念物,史跡,point,葛西城跡,0.5–3 m
123,river_flooding,浸水予想区域,0.0,中川_綾瀬川圏域,,0,external point-grid sampling,13122,葛飾区,Tokyo Metropolitan,Designated,記念物,史跡,point,葛西城跡,0
124,high_tide,高潮浸水想定,3.24,東京都 高潮浸水想定区域図,,3–5 m,external polygon point-in-area,13122,葛飾区,Tokyo Metropolitan,Designated,記念物,史跡,point,立石,3–5 m
124,river_flooding,洪水浸水想定区域,4.16,中川・綾瀬川圏域;利根川水系中川;利根川水系利根川;利根川水系江戸川;利根川水系綾瀬川,L1（計画規模）;L2（想定最大規模）,0.5m以上3m未満;0.5m未満;3m以上5m未満,PLATEAU building risk,13122,葛飾区,Tokyo Metropolitan,Designated,記念物,史跡,point,立石,3–5 m
125,high_tide,高潮浸水想定,2.46,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk,13123,江戸川区,Tokyo Metropolitan,Designated,記念物,史跡,point,一之江名主屋敷,0.5–3 m
125,river_flooding,洪水浸水想定区域,3.238,中川・綾瀬川圏域;利根川水系中川;利根川水系中川・綾瀬川・新中川・旧江戸川・毛長川・大場川・伝右川・垳川・新川;利根川水系利根川;利根川水系江戸川,L1（計画規模）;L2（想定最大規模）,0.5m以上3m未満;0.5m未満;3m以上5m未満,PLATEAU building risk,13123,江戸川区,Tokyo Metropolitan,Designated,記念物,史跡,point,一之江名主屋敷,3–5 m
126,river_flooding,浸水予想区域,0.0,浅川圏域_大栗川及び三沢川流域,,0,external point-grid sampling,13201,八王子市,Tokyo Metropolitan,Designated,記念物,史跡,point,片倉城跡,0
127,river_flooding,浸水予想区域,0.09,浅川圏域_大栗川及び三沢川流域,,0–0.5 m,external point-grid sampling,13201,八王子市,Tokyo Metropolitan,Designated,記念物,史跡,point,広園寺境域,0–0.5 m
128,river_flooding,浸水予想区域,0.0,野川_仙川_入間川_谷沢川及び丸子川流域,,0,external point-grid sampling,13204,三鷹市,Tokyo Metropolitan,Designated,記念物,史跡,point,出山横穴墓群第8号墓,0
129,river_flooding,洪水浸水想定区域,0.01,霞川・多摩川上流圏域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13205,青梅市,Tokyo Metropolitan,Designated,記念物,史跡,point,天寧寺境域,0–0.5 m
13,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13116,豊島区,Municipal,Designated,民俗文化財,無形民俗文化財,point,冨士元囃子,0
130,river_flooding,洪水浸水想定区域,0.04,秋川・平井川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13205,青梅市,Tokyo Metropolitan,Designated,記念物,史跡,point,海禅寺境域,0–0.5 m
131,river_flooding,洪水浸水想定区域,0.01,霞川・多摩川上流圏域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13205,青梅市,Tokyo Metropolitan,Designated,記念物,史跡,point,安楽寺境域,0–0.5 m
131024000000.0,high_tide,高潮浸水想定,0.78,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満;0.5m未満,PLATEAU building risk,13102,中央区,Municipal,Designated,有形文化財,建造物,building_direct,明治屋京橋ビル,0.5–3 m
131024000000.0,river_flooding,洪水浸水想定区域,0.962,神田川流域;荒川水系神田川流域;隅田川・新河岸川流域,L2（想定最大規模）,0.5m以上3m未満;0.5m未満,PLATEAU building risk,13102,中央区,Municipal,Designated,有形文化財,建造物,building_direct,明治屋京橋ビル,0.5–3 m
131024000000.0,tsunami,津波浸水想定,0.7832,区部,南海トラフ巨大地震_ケース1;南海トラフ巨大地震_ケース2;南海トラフ巨大地震_ケース5;南海トラフ巨大地震_ケース6;南海トラフ巨大地震_ケース8;南海トラフ巨大地震_全5ケース最大値;大正関東地震,0.5–3 m;0–0.5 m,external point-grid sampling,13102,中央区,Municipal,Designated,有形文化財,建造物,building_direct,明治屋京橋ビル,0.5–3 m
13104:0,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,市谷亀岡八幡宮の銅鳥居,0
13104:1,river_flooding,浸水予想区域,2.0,神田川流域,,0.5–3 m,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,早稲田大学 坪内博士記念演劇博物館,0.5–3 m
13104:10,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,西迎寺の阿弥陀如来座像,0
13104:100,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,狛犬型庚申塔,0
13104:101,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の閻魔像,0
13104:102,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の奪衣婆像,0
13104:103,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,葛谷御霊神社の力石,0
13104:104,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,成子天神社の力石,0
13104:105,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,雨乞のむしろ旗,0
13104:106,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,市谷亀岡八幡宮の力石,0
13104:107,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,筑土八幡神社の庚申塔,0
13104:108,river_flooding,洪水浸水想定区域,0.188,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,尺八「放下着」一式ならびに普化尺八伝授関連資料,0–0.5 m
13104:109,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,善国寺の石虎,0
13104:11,river_flooding,洪水浸水想定区域,0.059,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井出世不動尊像,0–0.5 m
13104:110,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井御霊神社の狛犬,0
13104:111,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,巴講睦の獅子頭,0
13104:112,river_flooding,浸水予想区域,0.0,城南地区河川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,一行院の板碑,0
13104:113,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,塞神三柱の塔,0
13104:114,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,全龍寺の庚申塔,0
13104:115,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,慈雲山観音寺の庚申塔,0
13104:116,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,下落合二丁目の庚申塔,0
13104:117,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,旧源兵衛村の庚申塔,0
13104:118,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,幸国寺の題目塔,0
13104:119,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,熊野神社の狛犬,0
13104:12,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,花園神社の唐獅子像,0
13104:120,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,高田馬場の流鏑馬,0
13104:121,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井御霊神社の備射祭,0
13104:122,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,葛谷御霊神社の備謝祭,0
13104:123,river_flooding,洪水浸水想定区域,0.058,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,丸藤宮元講社の富士講行事,0–0.5 m
13104:124,river_flooding,洪水浸水想定区域,0.077,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,戸塚囃子,0–0.5 m
13104:125,river_flooding,洪水浸水想定区域,0.058,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,萩原社中里神楽,0–0.5 m
13104:126,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,上落合餅つき唄,0
13104:127,river_flooding,洪水浸水想定区域,0.017,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,鉄砲組百人隊行列,0–0.5 m
13104:128,river_flooding,浸水予想区域,0.0,隅田川及び新河岸川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,高松喜六の墓,0
13104:129,river_flooding,浸水予想区域,0.0,隅田川及び新河岸川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,服部半蔵の墓,0
13104:13,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の三日月不動像,0
13104:130,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,小泉八雲旧居跡,0
13104:131,river_flooding,浸水予想区域,0.0,隅田川及び新河岸川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,塙保己一の墓,0
13104:132,river_flooding,洪水浸水想定区域,0.006,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,山県大弐の墓,0–0.5 m
13104:133,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,十二社の碑,0
13104:134,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,松井須磨子の墓,0
13104:135,river_flooding,浸水予想区域,0.0,隅田川及び新河岸川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,源清麿の墓,0
13104:136,river_flooding,洪水浸水想定区域,0.078,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk,13104,新宿区,Unknown,Unknown,未判定,未細分,point,尾崎紅葉旧居跡,0–0.5 m
13104:137,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,田村虎蔵旧居跡,0
13104:138,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,恋川春町の墓,0
13104:139,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,月岡芳年の墓,0
13104:14,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,熊野神社の水鉢,0
13104:140,river_flooding,浸水予想区域,0.0,神田川流域,,0,external point-grid sampling,13104,新宿区,Unknown,Unknown,未判定,未細分,point,浄瑠璃坂の仇討跡,0
13104:141,high_tide,高潮浸水想定,1.79,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area,13104,新宿区,Unknown,Unknown,未判定,未細分,point,国産飛行機発祥の地,0.5–3 m
