municipality_code,municipality_name,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
13213,東村山市,0,27,5,0,0,13,45
13220,東大和市,0,11,6,0,0,1,18
13221,清瀬市,0,1,1,0,0,0,2
13222,東久留米市,0,10,3,0,0,27,40
13223,武蔵村山市,0,0,0,0,0,1,1
13229,西東京市,0,0,0,0,0,3,3
