municipality_code,municipality_name,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
13111,大田区,0,6,0,0,0,0,6
13112,世田谷区,1,16,0,0,0,0,17
13203,武蔵野市,2,0,0,0,0,0,2
13204,三鷹市,18,3,2,0,0,0,23
13205,青梅市,1,0,0,0,0,0,1
13206,府中市,1,0,0,0,0,0,1
13208,調布市,24,19,3,0,0,0,46
13210,小金井市,2,4,2,2,0,0,10
13214,国分寺市,31,5,4,0,0,0,40
13219,狛江市,0,1,0,0,0,0,1
