heritage_type_major,5弱未満,5弱,5強,6弱,6強以上,No data,Total
その他,0,24,8,0,0,0,32
文化財保存技術,0,0,0,0,0,1,1
有形文化財,1,617,232,0,0,128,978
未判定,1,231,8,0,0,241,481
民俗文化財,4,37,50,2,0,20,113
無形文化財,0,0,3,0,0,1,4
記念物,1,154,78,1,0,25,259
