heritage_type_major,5弱未満,5弱,5強,6弱,6強以上,No data,Total
その他,0,0,0,32,0,0,32
文化財保存技術,0,0,0,0,0,1,1
有形文化財,0,7,64,550,220,137,978
未判定,0,0,0,225,14,242,481
民俗文化財,0,0,2,43,44,24,113
無形文化財,0,0,1,2,0,1,4
記念物,0,11,24,120,69,35,259
