designation_status,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
Designated,0,1,2,0,0,533,536
Other,0,0,0,0,0,35,35
Registered,0,0,2,2,1,655,660
Unknown,0,0,0,0,0,637,637
