designation_level,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Municipal,0,0,38,273,11,125,447
National,0,0,314,383,7,36,740
Tokyo Metropolitan,0,0,49,111,3,22,185
Unknown,0,0,166,73,0,257,496
