designation_level,fire,high_tide,landslide,liquefaction,river_flooding,seismic,tsunami,Total
Municipal,322,109,17,146,263,326,1,1184
National,704,52,35,344,656,716,7,2514
Tokyo Metropolitan,163,20,27,81,146,170,0,607
Unknown,239,9,3,116,239,240,0,846
