designation_level,1,2,3,4,5,6,7,No data,Total
Municipal,0,49,132,102,26,12,1,125,447
National,25,183,192,191,74,36,3,36,740
Tokyo Metropolitan,1,25,63,45,23,6,0,22,185
Unknown,9,27,83,89,31,0,0,257,496
