designation_status,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Designated,5,387,115,0,0,29,536
Other,0,10,19,0,0,6,35
Registered,1,408,136,0,0,115,660
Unknown,1,258,109,3,0,266,637
