heritage_type_major,5弱未満,5弱,5強,6弱,6強以上,No data,Total
その他,0,0,0,12,20,0,32
文化財保存技術,0,0,0,0,0,1,1
有形文化財,0,0,12,563,266,137,978
未判定,0,0,0,229,10,242,481
民俗文化財,0,0,0,35,54,24,113
無形文化財,0,0,0,1,2,1,4
記念物,0,0,5,132,87,35,259
