designation_status,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Designated,0,19,34,294,146,43,536
Other,0,0,0,10,19,6,35
Registered,0,4,53,300,179,124,660
Unknown,0,0,1,255,114,267,637
