municipality_code,municipality_name,その他,文化的景観,文化財保存技術,有形文化財,未判定,民俗文化財,無形文化財,記念物,Total
13103,千代田区,0,0,0,0,0,0,0,0,0
13103,台東区,0,0,0,0,0,0,0,0,0
13103,品川区,0,0,0,0,0,0,0,0,0
13103,国分寺市,0,0,0,0,0,0,0,0,0
13103,国立市,0,0,0,0,0,0,0,0,0
13103,墨田区,0,0,0,0,0,0,0,0,0
13103,多摩市,0,0,0,0,0,0,0,0,0
13103,大島町,0,0,0,0,0,0,0,0,0
13103,大田区,0,0,0,0,0,0,0,0,0
13103,小平市,0,0,0,0,0,0,0,0,0
13103,小金井市,0,0,0,0,0,0,0,0,0
13103,府中市,0,0,0,0,0,0,0,0,0
13103,文京区,0,0,0,0,0,0,0,0,0
13103,新宿区,0,0,0,0,0,0,0,0,0
13103,新島村,0,0,0,0,0,0,0,0,0
13103,日の出町,0,0,0,0,0,0,0,0,0
13103,日野市,0,0,0,0,0,0,0,0,0
13103,昭島市,0,0,0,0,0,0,0,0,0
13103,杉並区,0,0,0,0,0,0,0,0,0
13103,東久留米市,0,0,0,0,0,0,0,0,0
13103,東大和市,0,0,0,0,0,0,0,0,0
13103,東村山市,0,0,0,0,0,0,0,0,0
13103,板橋区,0,0,0,0,0,0,0,0,0
13103,檜原村,0,0,0,0,0,0,0,0,0
13103,武蔵村山市,0,0,0,0,0,0,0,0,0
13103,武蔵野市,0,0,0,0,0,0,0,0,0
13103,江戸川区,0,0,0,0,0,0,0,0,0
13103,江東区,0,0,0,0,0,0,0,0,0
13103,清瀬市,0,0,0,0,0,0,0,0,0
13103,渋谷区,0,0,0,0,0,0,0,0,0
13103,港区,0,0,0,41,0,0,0,11,52
13103,狛江市,0,0,0,0,0,0,0,0,0
13103,町田市,0,0,0,0,0,0,0,0,0
13103,目黒区,0,0,0,0,0,0,0,0,0
13103,福生市,0,0,0,0,0,0,0,0,0
13103,稲城市,0,0,0,0,0,0,0,0,0
13103,立川市,0,0,0,0,0,0,0,0,0
13103,練馬区,0,0,0,0,0,0,0,0,0
13103,羽村市,0,0,0,0,0,0,0,0,0
13103,荒川区,0,0,0,0,0,0,0,0,0
13103,葛飾区,0,0,0,0,0,0,0,0,0
13103,西東京市,0,0,0,0,0,0,0,0,0
13103,調布市,0,0,0,0,0,0,0,0,0
13103,豊島区,0,0,0,0,0,0,0,0,0
13103,足立区,0,0,0,0,0,0,0,0,0
13103,青ケ島村,0,0,0,0,0,0,0,0,0
13103,青梅市,0,0,0,0,0,0,0,0,0
13104,あきる野市,0,0,0,0,0,0,0,0,0
13104,三宅村,0,0,0,0,0,0,0,0,0
13104,三鷹市,0,0,0,0,0,0,0,0,0
13104,世田谷区,0,0,0,0,0,0,0,0,0
13104,中央区,0,0,0,0,0,0,0,0,0
13104,中野区,0,0,0,0,0,0,0,0,0
13104,八丈町,0,0,0,0,0,0,0,0,0
13104,八王子市,0,0,0,0,0,0,0,0,0
13104,利島村,0,0,0,0,0,0,0,0,0
13104,千代田区,0,0,0,0,0,0,0,0,0
13104,台東区,0,0,0,0,0,0,0,0,0
13104,品川区,0,0,0,0,0,0,0,0,0
13104,国分寺市,0,0,0,0,0,0,0,0,0
13104,国立市,0,0,0,0,0,0,0,0,0
13104,墨田区,0,0,0,0,0,0,0,0,0
13104,多摩市,0,0,0,0,0,0,0,0,0
13104,大島町,0,0,0,0,0,0,0,0,0
13104,大田区,0,0,0,0,0,0,0,0,0
13104,小平市,0,0,0,0,0,0,0,0,0
13104,小金井市,0,0,0,0,0,0,0,0,0
13104,府中市,0,0,0,0,0,0,0,0,0
13104,文京区,0,0,0,0,0,0,0,0,0
13104,新宿区,0,0,0,21,232,0,0,3,256
13104,新島村,0,0,0,0,0,0,0,0,0
13104,日の出町,0,0,0,0,0,0,0,0,0
13104,日野市,0,0,0,0,0,0,0,0,0
13104,昭島市,0,0,0,0,0,0,0,0,0
13104,杉並区,0,0,0,0,0,0,0,0,0
13104,東久留米市,0,0,0,0,0,0,0,0,0
13104,東大和市,0,0,0,0,0,0,0,0,0
13104,東村山市,0,0,0,0,0,0,0,0,0
13104,板橋区,0,0,0,0,0,0,0,0,0
13104,檜原村,0,0,0,0,0,0,0,0,0
13104,武蔵村山市,0,0,0,0,0,0,0,0,0
13104,武蔵野市,0,0,0,0,0,0,0,0,0
13104,江戸川区,0,0,0,0,0,0,0,0,0
13104,江東区,0,0,0,0,0,0,0,0,0
13104,清瀬市,0,0,0,0,0,0,0,0,0
13104,渋谷区,0,0,0,0,0,0,0,0,0
13104,港区,0,0,0,0,0,0,0,0,0
13104,狛江市,0,0,0,0,0,0,0,0,0
13104,町田市,0,0,0,0,0,0,0,0,0
13104,目黒区,0,0,0,0,0,0,0,0,0
13104,福生市,0,0,0,0,0,0,0,0,0
13104,稲城市,0,0,0,0,0,0,0,0,0
13104,立川市,0,0,0,0,0,0,0,0,0
13104,練馬区,0,0,0,0,0,0,0,0,0
13104,羽村市,0,0,0,0,0,0,0,0,0
13104,荒川区,0,0,0,0,0,0,0,0,0
