designation_status,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Designated,0,0,162,326,5,43,536
Other,0,0,18,9,2,6,35
Registered,0,0,213,317,6,124,660
Unknown,0,0,174,188,8,267,637
