heritage_type_major,1,2,3,4,5,6,7,No data,Total
その他,0,15,4,10,0,3,0,0,32
文化財保存技術,0,0,0,0,0,0,0,1,1
有形文化財,23,190,263,227,89,46,3,137,978
未判定,9,27,84,89,30,0,0,242,481
民俗文化財,0,6,30,42,10,0,1,24,113
無形文化財,0,1,2,0,0,0,0,1,4
記念物,3,45,87,59,25,5,0,35,259
