municipality_code,municipality_name,0–0.5 m,0.5–3 m,3–5 m,5 m以上,Total
13110,国立市,0,0,0,0,0
13110,大田区,0,0,0,0,0
13110,府中市,0,0,0,0,0
13110,日野市,0,0,0,0,0
13110,昭島市,0,0,0,0,0
13110,狛江市,0,0,0,0,0
13110,目黒区,0,1,0,0,1
13110,福生市,0,0,0,0,0
13110,調布市,0,0,0,0,0
13110,青梅市,0,0,0,0,0
13111,国立市,0,0,0,0,0
13111,大田区,1,1,0,0,2
13111,府中市,0,0,0,0,0
13111,日野市,0,0,0,0,0
13111,昭島市,0,0,0,0,0
13111,狛江市,0,0,0,0,0
13111,目黒区,0,0,0,0,0
13111,福生市,0,0,0,0,0
13111,調布市,0,0,0,0,0
13111,青梅市,0,0,0,0,0
13205,国立市,0,0,0,0,0
13205,大田区,0,0,0,0,0
13205,府中市,0,0,0,0,0
13205,日野市,0,0,0,0,0
13205,昭島市,0,0,0,0,0
13205,狛江市,0,0,0,0,0
13205,目黒区,0,0,0,0,0
13205,福生市,0,0,0,0,0
13205,調布市,0,0,0,0,0
13205,青梅市,0,1,1,0,2
13206,国立市,0,0,0,0,0
13206,大田区,0,0,0,0,0
13206,府中市,0,1,1,0,2
13206,日野市,0,0,0,0,0
13206,昭島市,0,0,0,0,0
13206,狛江市,0,0,0,0,0
13206,目黒区,0,0,0,0,0
13206,福生市,0,0,0,0,0
13206,調布市,0,0,0,0,0
13206,青梅市,0,0,0,0,0
13207,国立市,0,0,0,0,0
13207,大田区,0,0,0,0,0
13207,府中市,0,0,0,0,0
13207,日野市,0,0,0,0,0
13207,昭島市,0,1,0,0,1
13207,狛江市,0,0,0,0,0
13207,目黒区,0,0,0,0,0
13207,福生市,0,0,0,0,0
13207,調布市,0,0,0,0,0
13207,青梅市,0,0,0,0,0
13208,国立市,0,0,0,0,0
13208,大田区,0,0,0,0,0
13208,府中市,0,0,0,0,0
13208,日野市,0,0,0,0,0
13208,昭島市,0,0,0,0,0
13208,狛江市,0,0,0,0,0
13208,目黒区,0,0,0,0,0
13208,福生市,0,0,0,0,0
13208,調布市,2,5,6,0,13
13208,青梅市,0,0,0,0,0
13212,国立市,0,0,0,0,0
13212,大田区,0,0,0,0,0
13212,府中市,0,0,0,0,0
13212,日野市,1,1,0,0,2
13212,昭島市,0,0,0,0,0
13212,狛江市,0,0,0,0,0
13212,目黒区,0,0,0,0,0
13212,福生市,0,0,0,0,0
13212,調布市,0,0,0,0,0
13212,青梅市,0,0,0,0,0
13215,国立市,11,3,0,1,15
13215,大田区,0,0,0,0,0
13215,府中市,0,0,0,0,0
13215,日野市,0,0,0,0,0
13215,昭島市,0,0,0,0,0
13215,狛江市,0,0,0,0,0
13215,目黒区,0,0,0,0,0
13215,福生市,0,0,0,0,0
13215,調布市,0,0,0,0,0
13215,青梅市,0,0,0,0,0
13218,国立市,0,0,0,0,0
13218,大田区,0,0,0,0,0
13218,府中市,0,0,0,0,0
13218,日野市,0,0,0,0,0
13218,昭島市,0,0,0,0,0
13218,狛江市,0,0,0,0,0
13218,目黒区,0,0,0,0,0
13218,福生市,0,6,0,0,6
13218,調布市,0,0,0,0,0
13218,青梅市,0,0,0,0,0
13219,国立市,0,0,0,0,0
13219,大田区,0,0,0,0,0
13219,府中市,0,0,0,0,0
13219,日野市,0,0,0,0,0
13219,昭島市,0,0,0,0,0
13219,狛江市,0,1,0,0,1
13219,目黒区,0,0,0,0,0
13219,福生市,0,0,0,0,0
13219,調布市,0,0,0,0,0
13219,青梅市,0,0,0,0,0
