designation_level,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
Municipal,0,1,73,32,3,338,447
National,0,23,23,5,1,688,740
Tokyo Metropolitan,0,3,14,3,0,165,185
Unknown,0,6,3,0,0,487,496
