record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
154,13101,千代田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,将門塚,5.099,南海トラフ巨大地震,5強
official_export_001:11,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,4.788,南海トラフ巨大地震,5弱
official_export_001:12,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,4.788,南海トラフ巨大地震,5弱
official_export_001:13,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,5.06,南海トラフ巨大地震,5強
official_export_001:14,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,4.796,南海トラフ巨大地震,5弱
official_export_001:34,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,5.041,南海トラフ巨大地震,5強
official_export_001:35,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,4.798,南海トラフ巨大地震,5弱
official_export_001:63,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧近衛師団司令部庁舎,4.805,南海トラフ巨大地震,5弱
official_export_001:80,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,水準原点,4.784,南海トラフ巨大地震,5弱
official_export_001:103,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,東京駅丸ノ内本屋,4.97,南海トラフ巨大地震,5弱
official_export_001:114,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,5.007,南海トラフ巨大地震,5強
official_export_001:115,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,5.007,南海トラフ巨大地震,5強
official_export_001:116,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,5.007,南海トラフ巨大地震,5強
official_export_001:117,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,4.881,南海トラフ巨大地震,5弱
official_export_001:118,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,4.881,南海トラフ巨大地震,5弱
official_export_001:130,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,法務省旧本館,4.872,南海トラフ巨大地震,5弱
official_export_001:192,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,明治生命保険相互会社本社本館,5.132,南海トラフ巨大地震,5強
official_export_002:81,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,学士会館,5.035,南海トラフ巨大地震,5強
official_export_002:100,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,カトリック神田教会聖堂,4.985,南海トラフ巨大地震,5弱
official_export_002:116,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社神饌所,4.827,南海トラフ巨大地震,5弱
official_export_002:117,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社西門,4.827,南海トラフ巨大地震,5弱
official_export_002:118,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社拝殿,4.827,南海トラフ巨大地震,5弱
official_export_002:119,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社東門,4.883,南海トラフ巨大地震,5弱
official_export_002:120,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社幣殿,4.827,南海トラフ巨大地震,5弱
official_export_002:121,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社宝庫,4.827,南海トラフ巨大地震,5弱
official_export_002:122,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社本殿,4.827,南海トラフ巨大地震,5弱
official_export_002:123,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社瑞垣,4.827,南海トラフ巨大地震,5弱
official_export_002:153,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧九段会館,4.911,南海トラフ巨大地震,5弱
official_export_002:181,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧文部省庁舎,4.683,南海トラフ巨大地震,5弱
official_export_002:182,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧山口萬吉邸主屋,4.772,南海トラフ巨大地震,5弱
official_export_002:183,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧山口萬吉邸門及び塀,4.768,南海トラフ巨大地震,5弱
official_export_002:287,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,太洋ビルディング(丸石ビルディング),4.968,南海トラフ巨大地震,5弱
official_export_002:297,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅主屋,5.019,南海トラフ巨大地震,5強
official_export_002:298,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅正門,5.019,南海トラフ巨大地震,5強
official_export_002:299,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,高畠家住宅塀及び石垣,5.019,南海トラフ巨大地震,5強
official_export_002:359,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,東京地下鉄丸ノ内線御茶ノ水橋梁,4.841,南海トラフ巨大地震,5弱
official_export_002:360,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,東京地下鉄丸ノ内線四ツ谷跨線橋,4.886,南海トラフ巨大地震,5弱
official_export_002:384,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,日本工業倶楽部会館,5.027,南海トラフ巨大地震,5強
official_export_002:422,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,松本家住宅主屋,4.954,南海トラフ巨大地震,5弱
