heritage_type_major,5弱未満,5弱,5強,6弱,6強以上,No data,Total
その他,0,0,0,31,1,0,32
文化財保存技術,0,0,0,0,0,1,1
有形文化財,0,0,317,514,10,137,978
未判定,0,0,166,73,0,242,481
民俗文化財,0,0,14,70,5,24,113
無形文化財,0,0,0,3,0,1,4
記念物,0,0,70,149,5,35,259
