heritage_type_major,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
その他,21,4,4,0,0,3,32
文化財保存技術,0,0,0,0,0,1,1
有形文化財,326,341,50,6,6,249,978
未判定,170,57,12,0,0,242,481
民俗文化財,12,55,12,0,0,34,113
無形文化財,0,1,0,0,0,3,4
記念物,81,88,21,4,1,64,259
