record_id,risk_type,risk_type_ja,depth_m,hazard_source,scenario,risk_class,risk_basis
123,high_tide,高潮浸水想定,1.89,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
124,high_tide,高潮浸水想定,3.24,東京都 高潮浸水想定区域図,,3–5 m,external polygon point-in-area
125,high_tide,高潮浸水想定,2.31,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131024000000.0,high_tide,高潮浸水想定,0.78,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
13104:141,high_tide,高潮浸水想定,1.79,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
13104:230,high_tide,高潮浸水想定,1.14,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
13104:37,high_tide,高潮浸水想定,0.16,東京都 高潮浸水想定区域図,,0–0.5 m,external polygon point-in-area
13104:38,high_tide,高潮浸水想定,0.16,東京都 高潮浸水想定区域図,,0–0.5 m,external polygon point-in-area
13104:39,high_tide,高潮浸水想定,0.16,東京都 高潮浸水想定区域図,,0–0.5 m,external polygon point-in-area
13104:40,high_tide,高潮浸水想定,0.16,東京都 高潮浸水想定区域図,,0–0.5 m,external polygon point-in-area
13104:72,high_tide,高潮浸水想定,0.16,東京都 高潮浸水想定区域図,,0–0.5 m,external polygon point-in-area
131067100029,high_tide,高潮浸水想定,1.23,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131067100060,high_tide,高潮浸水想定,1.33,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131067100075,high_tide,高潮浸水想定,1.07,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131067100132,high_tide,高潮浸水想定,1.33,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131067100134,high_tide,高潮浸水想定,0.51,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131067100147,high_tide,高潮浸水想定,0.51,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131067100162,high_tide,高潮浸水想定,1.01,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131067100163,high_tide,高潮浸水想定,1.01,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131067100168,high_tide,高潮浸水想定,1.01,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131067100171,high_tide,高潮浸水想定,1.01,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131067100174,high_tide,高潮浸水想定,1.01,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131067100178,high_tide,高潮浸水想定,1.01,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131067100181,high_tide,高潮浸水想定,1.01,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131075100001,high_tide,高潮浸水想定,2.3,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131075100002,high_tide,高潮浸水想定,4.73,東京都 高潮浸水想定区域図,,3–5 m,external polygon point-in-area
131075100003,high_tide,高潮浸水想定,3.75,東京都 高潮浸水想定区域図,,3–5 m,external polygon point-in-area
131075100004,high_tide,高潮浸水想定,5.1,東京都 高潮浸水想定区域図,,5 m以上,external polygon point-in-area
131075100006,high_tide,高潮浸水想定,2.83,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131075100007,high_tide,高潮浸水想定,2.29,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131075100008,high_tide,高潮浸水想定,2.83,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131075100010,high_tide,高潮浸水想定,2.3,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131075100011,high_tide,高潮浸水想定,2.3,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131075100012,high_tide,高潮浸水想定,1.15,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131075100014,high_tide,高潮浸水想定,1.22,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131075100016,high_tide,高潮浸水想定,1.41,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
131075100017,high_tide,高潮浸水想定,1.41,東京都 高潮浸水想定区域図,,0.5–3 m,external polygon point-in-area
