record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,river,risk_type,risk_type_ja,hazard_source,scenario,depth_class,depth_rank,depth_class_native,depth_min_m,depth_max_m,risk_basis
official_export_002:287,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,太洋ビルディング(丸石ビルディング),荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
official_export_002:384,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,日本工業倶楽部会館,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
official_export_001:192,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,明治生命保険相互会社本社本館,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
official_export_001:103,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,東京駅丸ノ内本屋,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
official_export_002:460,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,山本歯科医院,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
131024000000.0,13102,中央区,Municipal,Designated,有形文化財,建造物,building_direct,明治屋京橋ビル,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_001:99,13102,中央区,National,Designated,有形文化財,建造物,building_direct,髙島屋東京店,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
official_export_002:197,13102,中央区,National,Registered,有形文化財,建造物,building_direct,喜代川店舗,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:53,13102,中央区,National,Registered,有形文化財,建造物,building_direct,江戸屋店舗兼住宅,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
official_export_002:396,13102,中央区,National,Registered,有形文化財,建造物,building_direct,ハリオグラスビル,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:473,13102,中央区,National,Registered,有形文化財,建造物,building_direct,よし梅芳町亭,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:305,13102,中央区,National,Registered,有形文化財,建造物,building_direct,玉置文治郎ビル,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:59,13102,中央区,National,Registered,有形文化財,建造物,building_direct,大野屋總本店店舗,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:271,13102,中央区,National,Registered,有形文化財,建造物,building_direct,新富町躍金楼店舗,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:199,13102,中央区,National,Registered,有形文化財,建造物,building_direct,銀座大野屋店舗兼主屋,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:179,13102,中央区,National,Registered,有形文化財,建造物,building_direct,旧宮脇ビル(川崎ブランドデザインビルヂング),荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:415,13103,港区,National,Registered,有形文化財,建造物,building_direct,堀商店,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0–0.5 m,1,0–0.5 m,0.0,0.5,A31a polygon intersection
official_export_001:91,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺二天門,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:40,13106,台東区,National,Registered,有形文化財,建造物,building_direct,今半別館北棟,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_001:0,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草神社,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_001:1,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草神社,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:42,13106,台東区,National,Registered,有形文化財,建造物,building_direct,今半別館南棟,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:41,13106,台東区,National,Registered,有形文化財,建造物,building_direct,今半別館玄関棟,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:312,13106,台東区,National,Registered,有形文化財,建造物,building_direct,茶寮一松店舗及び住居,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_001:90,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺伝法院,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:311,13106,台東区,National,Registered,有形文化財,建造物,building_direct,茶寮一松表門及び塀,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:132,13106,台東区,National,Registered,有形文化財,建造物,building_direct,ギャラリー・エフ蔵(株式会社淵川金属事務所),荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:44,13106,台東区,National,Registered,有形文化財,建造物,building_direct,今半本店西奥座敷,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:45,13106,台東区,National,Registered,有形文化財,建造物,building_direct,今半本店東奥座敷,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_002:107,13106,台東区,National,Registered,有形文化財,建造物,building_direct,神谷バー本館,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_001:85,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺伝法院,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_001:88,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺伝法院,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_001:86,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺伝法院,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_001:87,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺伝法院,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
official_export_001:89,13106,台東区,National,Designated,有形文化財,建造物,building_direct,浅草寺伝法院,荒川,river_flooding,洪水浸水想定区域,A31a 荒川,想定最大規模,0.5–3 m,2,0.5–3 m,0.5,3.0,A31a polygon intersection
