designation_status,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
Designated,0,14,21,6,1,494,536
Other,0,0,12,0,0,23,35
Registered,0,12,18,2,0,628,660
Unknown,0,7,62,32,3,533,637
