record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
official_export_002:384,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,日本工業倶楽部会館,6.121,都心南部直下地震,6強以上
official_export_002:422,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,松本家住宅主屋,5.862,都心南部直下地震,6弱
official_export_002:460,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,山本歯科医院,5.875,都心南部直下地震,6弱
official_export_003:3,13101,千代田区,National,Designated,記念物,天然記念物,point,江戸城跡,5.862,都心南部直下地震,6弱
official_export_003:4,13101,千代田区,National,Designated,記念物,天然記念物,point,江戸城跡のヒカリゴケ生育地,5.82,都心南部直下地震,6弱
official_export_003:5,13101,千代田区,National,Designated,記念物,天然記念物,point,江戸城外堀跡,5.732,都心南部直下地震,6弱
official_export_003:50,13101,千代田区,National,Designated,記念物,天然記念物,point,常盤橋門跡,5.781,都心南部直下地震,6弱
93,13102,中央区,Tokyo Metropolitan,Designated,有形文化財,歴史資料,point,一石橋迷子しらせ石標,5.648,都心南部直下地震,6弱
131024000000.0,13102,中央区,Municipal,Designated,有形文化財,建造物,building_direct,明治屋京橋ビル,6.262,都心南部直下地震,6強以上
official_export_001:10,13102,中央区,National,Designated,有形文化財,建造物,building_direct,永代橋,6.477,都心南部直下地震,6強以上
official_export_001:20,13102,中央区,National,Designated,有形文化財,建造物,building_direct,勝鬨橋,6.054,都心南部直下地震,6強以上
official_export_001:53,13102,中央区,National,Designated,有形文化財,建造物,building_direct,清洲橋,6.395,都心南部直下地震,6強以上
official_export_001:99,13102,中央区,National,Designated,有形文化財,建造物,building_direct,髙島屋東京店,5.917,都心南部直下地震,6弱
official_export_001:101,13102,中央区,National,Designated,有形文化財,建造物,building_direct,築地本願寺本堂,5.92,都心南部直下地震,6弱
official_export_001:112,13102,中央区,National,Designated,有形文化財,建造物,building_direct,日本銀行本店本館,5.863,都心南部直下地震,6弱
official_export_001:113,13102,中央区,National,Designated,有形文化財,建造物,building_direct,日本橋,5.834,都心南部直下地震,6弱
official_export_001:138,13102,中央区,National,Designated,有形文化財,建造物,building_direct,三井本館,6.061,都心南部直下地震,6強以上
official_export_001:139,13102,中央区,National,Designated,有形文化財,建造物,building_direct,三越日本橋本店,5.855,都心南部直下地震,6弱
official_export_002:53,13102,中央区,National,Registered,有形文化財,建造物,building_direct,江戸屋店舗兼住宅,6.136,都心南部直下地震,6強以上
