record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,depth_m,hazard_source,scenario,risk_basis,risk_type,depth_class
154,13101,千代田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,将門塚,0.0,神田川流域;隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_001:11,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_001:12,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_001:13,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_001:14,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_001:34,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_001:35,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_001:63,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧近衛師団司令部庁舎,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_001:80,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,水準原点,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_001:103,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,東京駅丸ノ内本屋,0.149,神田川流域;荒川水系神田川流域;隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_001:114,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_001:115,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_001:116,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,0.006,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_001:117,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_001:118,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,0.045,神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_001:130,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,法務省旧本館,0.0,神田川流域;隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_001:192,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,明治生命保険相互会社本社本館,0.73,隅田川・新河岸川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0.5–3 m
official_export_002:81,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,学士会館,0.26,神田川流域;荒川水系神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:100,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,カトリック神田教会聖堂,0.117,神田川流域;荒川水系神田川流域,L2（想定最大規模）,PLATEAU building risk,river_flooding,0–0.5 m
official_export_002:116,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社神饌所,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:117,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社西門,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:118,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社拝殿,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:119,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社東門,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:120,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社幣殿,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:121,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社宝庫,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:122,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社本殿,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:123,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社瑞垣,0.0,神田川流域,,external point-grid sampling,river_flooding,0
official_export_002:153,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧九段会館,0.0,神田川流域;隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
official_export_002:181,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧文部省庁舎,0.0,隅田川及び新河岸川流域,,external point-grid sampling,river_flooding,0
