heritage_type_major,0–0.5 m,0.5–3 m,3–5 m,5 m以上,Total
有形文化財,18,79,17,4,118
未判定,0,1,1,1,3
民俗文化財,2,24,11,5,42
記念物,7,16,10,0,33
