designation_level,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Municipal,0,0,0,132,190,125,447
National,0,0,14,505,185,36,740
Tokyo Metropolitan,0,0,3,106,54,22,185
Unknown,0,0,0,229,10,257,496
