record_id,risk_type,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name
154,seismic,13101,千代田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,将門塚
official_export_001:11,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門
official_export_001:12,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門
official_export_001:13,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門
official_export_001:14,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門
official_export_001:34,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門
official_export_001:35,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門
official_export_001:63,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧近衛師団司令部庁舎
official_export_001:80,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,水準原点
official_export_001:103,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,東京駅丸ノ内本屋
official_export_001:114,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団
official_export_001:115,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団
official_export_001:116,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団
official_export_001:117,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団
official_export_001:118,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団
official_export_001:130,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,法務省旧本館
official_export_001:192,seismic,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,明治生命保険相互会社本社本館
official_export_002:81,seismic,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,学士会館
