designation_level,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
Municipal,0,0,1,0,0,446,447
National,0,1,3,2,1,733,740
Tokyo Metropolitan,0,0,0,0,0,185,185
Unknown,0,0,0,0,0,496,496
