designation_level,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
Municipal,76,141,28,1,1,200,447
National,325,269,42,4,5,95,740
Tokyo Metropolitan,39,80,16,5,1,44,185
Unknown,170,56,13,0,0,257,496
