municipality_name,5弱未満,5弱,5強,6弱,6強以上,No data,Total
あきる野市,6,2,36,20,0,3,67
三宅村,0,2,0,0,0,0,2
三鷹市,0,0,1,25,0,0,26
世田谷区,0,0,0,31,10,0,41
中央区,0,0,1,19,4,0,24
中野区,0,0,3,14,0,0,17
八丈町,1,0,0,0,0,0,1
八王子市,0,0,4,5,1,0,10
利島村,0,1,0,0,0,0,1
千代田区,0,0,2,42,0,0,44
台東区,0,0,15,112,6,6,139
品川区,0,0,0,14,0,0,14
国分寺市,0,0,6,39,0,0,45
国立市,0,0,2,70,0,11,83
墨田区,0,0,0,91,16,8,115
多摩市,0,0,1,7,0,0,8
大島町,0,0,4,3,0,0,7
大田区,0,0,0,18,20,0,38
小平市,0,0,0,1,0,19,20
小金井市,0,0,0,4,0,0,4
府中市,0,0,1,8,0,0,9
文京区,0,0,19,73,0,0,92
新宿区,0,0,13,241,0,2,256
新島村,0,5,1,0,0,0,6
日の出町,0,0,1,0,0,0,1
日野市,0,0,2,5,0,0,7
昭島市,0,0,4,0,0,0,4
杉並区,0,0,0,26,3,0,29
東久留米市,0,0,10,1,0,0,11
東大和市,0,0,2,3,0,0,5
東村山市,0,1,24,18,0,3,46
板橋区,0,0,2,1,0,0,3
檜原村,0,5,1,0,0,0,6
武蔵村山市,0,0,0,1,0,0,1
武蔵野市,0,0,0,4,0,0,4
江戸川区,0,0,0,3,0,239,242
江東区,0,0,0,9,2,0,11
清瀬市,0,0,2,0,0,0,2
渋谷区,0,0,0,31,0,0,31
港区,0,0,0,51,1,0,52
狛江市,0,0,0,1,0,0,1
町田市,0,0,0,4,1,0,5
目黒区,0,0,0,33,0,0,33
福生市,0,0,14,1,0,0,15
稲城市,0,0,0,1,0,0,1
立川市,0,0,0,2,0,0,2
練馬区,0,0,2,0,0,0,2
羽村市,0,0,4,0,0,0,4
荒川区,0,0,0,2,0,0,2
葛飾区,0,0,0,6,0,2,8
西東京市,0,0,0,10,0,0,10
調布市,0,0,10,59,0,1,70
豊島区,0,0,10,20,0,122,152
足立区,0,0,0,1,0,0,1
青梅市,0,16,19,3,0,0,38
