heritage_type_major,fire,high_tide,landslide,liquefaction,river_flooding,seismic,tsunami,Total
その他,32,0,0,0,29,32,0,93
有形文化財,841,103,51,396,749,850,7,2997
未判定,239,9,3,115,239,240,0,845
民俗文化財,89,42,3,54,85,93,0,366
無形文化財,3,0,1,0,2,3,0,9
記念物,224,36,24,122,200,234,1,841
