designation_status,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Designated,0,15,40,293,145,43,536
Other,0,0,0,23,6,6,35
Registered,0,11,48,331,146,124,660
Unknown,0,0,10,259,101,267,637
