designation_level,5弱未満,5弱,5強,6弱,6強以上,No data,Total
Municipal,0,2,9,193,118,125,447
National,0,9,57,358,280,36,740
Tokyo Metropolitan,0,12,22,89,40,22,185
Unknown,0,0,0,219,20,257,496
