heritage_type_major,土砂災害｜PLATEAU建築物リスク,土砂災害｜土砂災害警戒区域,延焼危険度｜延焼危険度,想定震度｜南海トラフ巨大地震,想定震度｜多摩東部直下地震,想定震度｜多摩西部直下地震,想定震度｜大正関東地震,想定震度｜立川断層帯地震,想定震度｜都心南部直下地震,想定震度｜都心東部直下地震,想定震度｜都心西部直下地震,河川浸水｜L1（計画規模）,河川浸水｜L2（想定最大規模）,河川浸水｜想定最大規模,河川浸水｜河川浸水,液状化｜南海トラフ巨大地震,液状化｜多摩東部直下地震,液状化｜大正関東地震,液状化｜立川断層帯地震,液状化｜都心南部直下地震
有形文化財,1,1,36,36,36,36,36,36,36,36,36,1,8,6,26,0,2,1,0,2
民俗文化財,0,1,17,17,17,17,17,17,17,17,17,0,2,4,9,0,1,1,0,1
記念物,0,0,16,16,16,16,16,16,16,16,16,1,4,3,11,2,5,5,1,5
TOTAL,1,2,69,69,69,69,69,69,69,69,69,2,14,13,46,2,8,7,1,8
