risk_type,risk_type_ja,scenario,hazard_key,affected_record_count
landslide,土砂災害,PLATEAU建築物リスク,土砂災害｜PLATEAU建築物リスク,4
landslide,土砂災害,土砂災害警戒区域,土砂災害｜土砂災害警戒区域,4
liquefaction,液状化,南海トラフ巨大地震,液状化｜南海トラフ巨大地震,1
liquefaction,液状化,大正関東地震,液状化｜大正関東地震,1
liquefaction,液状化,都心南部直下地震,液状化｜都心南部直下地震,1
seismic,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震,6
seismic,想定震度,大正関東地震,想定震度｜大正関東地震,6
tsunami,津波,PLATEAU建築物リスク,津波｜PLATEAU建築物リスク,3
tsunami,津波,南海トラフ巨大地震_ケース1,津波｜南海トラフ巨大地震_ケース1,4
tsunami,津波,南海トラフ巨大地震_ケース6,津波｜南海トラフ巨大地震_ケース6,4
tsunami,津波,南海トラフ巨大地震_ケース8,津波｜南海トラフ巨大地震_ケース8,4
