heritage_type_major,土砂災害｜PLATEAU建築物リスク,土砂災害｜土砂災害警戒区域,想定震度｜南海トラフ巨大地震,想定震度｜大正関東地震,津波｜PLATEAU建築物リスク,津波｜南海トラフ巨大地震_ケース1,津波｜南海トラフ巨大地震_ケース6,津波｜南海トラフ巨大地震_ケース8,液状化｜南海トラフ巨大地震,液状化｜大正関東地震,液状化｜都心南部直下地震
有形文化財,4,4,6,6,3,4,4,4,1,1,1
TOTAL,4,4,6,6,3,4,4,4,1,1,1
